elem;type_el;name_el
S;ВИДЫ АКТИВНОСТИ; (Стойка)
A;ВИДЫ АКТИВНОСТИ; (Действие)
STR;ВИДЫ АКТИВНОСТИ; (Удар (атака))
BLK;ВИДЫ АКТИВНОСТИ; (Блок (защита))
REY;СТОЙКИ. ОЖИДАНИЯ И ГОТОВНОСТИ;Рэй (Поклон)
HSD;СТОЙКИ. ОЖИДАНИЯ И ГОТОВНОСТИ;Хэйсоку-дачи (ступни вместе)
MSD;СТОЙКИ. ОЖИДАНИЯ И ГОТОВНОСТИ;Мусуби-дачи (пятки вместе, носки развернуты)
HKD;СТОЙКИ. ОЖИДАНИЯ И ГОТОВНОСТИ;Хэйко-дачи (ступни параллельно примерно на ширине плеч)
FUD;СТОЙКИ. ОЖИДАНИЯ И ГОТОВНОСТИ;Фудо-дачи (пятки на ширине плеч, носки развернуты)
UHD;СТОЙКИ. ОЖИДАНИЯ И ГОТОВНОСТИ;Ути хачиджи-дачи (стойка «голубя» (пятки на ширине плеч, носки повернуты внутрь))
DZKD;СТОЙКИ. ОСНОВНЫЕ;Дзэнкуцу-дачи (передняя стойка)
KOKD;СТОЙКИ. ОСНОВНЫЕ;Кокуцу-дачи (задняя стойка)
SACHD;СТОЙКИ. ОСНОВНЫЕ;Санчин-дачи (стойка крепости или «песочные часы»)
KIBD;СТОЙКИ. ОСНОВНЫЕ;Киба-дачи (стойка всадника)
SIKD;СТОЙКИ. ОСНОВНЫЕ;Сико-дачи (стойка борца сумо)
NKSD;СТОЙКИ. ПЕРЕХОДНЫЕ;Нэкоаси-дачи (стойка кота)
KURZD;СТОЙКИ. ПЕРЕХОДНЫЕ;Курузи-дачи («скрученная» стойка с заступом ноги сзади)
KAKUD;СТОЙКИ. ПЕРЕХОДНЫЕ;Каку-дачи («скрученная» стойка с заступом ноги сзади)
MORSD;СТОЙКИ. ПЕРЕХОДНЫЕ;Мороаси-дачи (ступни параллельно на ширине плеч, одна нога выдвинута на длину ступни вперед)
DKAMD;СТОЙКИ. БОЕВАЯ;Дзё камаэ-дачи (стандартная боевая (равновесная) стойка)
KUMTD;СТОЙКИ. БОЕВАЯ;кумитэ-дачи (стандартная боевая (равновесная) стойка)
UPP;УРОВНИ АТАКИ, ЗАЩИТЫ;Дзёдан (верхний (голова, шея))
MDL;УРОВНИ АТАКИ, ЗАЩИТЫ;Чудан (средний (корпус))
LOW;УРОВНИ АТАКИ, ЗАЩИТЫ;Гэдан (нижний (ниже пояса))
SIML;ВЗАИМНОЕ ПОЛОЖЕНИЕ РУК И НОГ;Ой (одноименное)
CROS;ВЗАИМНОЕ ПОЛОЖЕНИЕ РУК И НОГ;Гияку (разноименное (противоположное))
L;СТОРОНЫ ТЕЛА И УДАРНЫЕ ЧАСТИ ТЕЛА;Хидари (левая)
R;СТОРОНЫ ТЕЛА И УДАРНЫЕ ЧАСТИ ТЕЛА;Миги (правая)
HND;СТОРОНЫ ТЕЛА И УДАРНЫЕ ЧАСТИ ТЕЛА; (рука)
LEG;СТОРОНЫ ТЕЛА И УДАРНЫЕ ЧАСТИ ТЕЛА; (нога)
HED;СТОРОНЫ ТЕЛА И УДАРНЫЕ ЧАСТИ ТЕЛА; (голова)
UPA;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Аго (вверх)
FRW;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Маэ (вперед)
SD;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Еко (в сторону)
BCK;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Усиро (назад)
CRCL;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Маваси (круговое)
INSD;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Сото (внутрь)
OUTS;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Учи (изнутри)
DW;НАПРАВЛЕНИЕ ДЕЙСТВИЯ В УДАРЕ/БЛОКЕ;Ороси (вниз)
